time,iso,plot_0,plot_1,rsi,open,high,low,close,volume
1786345500,2026-08-10T07:05:00.000Z,0,0,,,,,,
1786345800,2026-08-10T07:10:00.000Z,0,0,,,,,,
1786346100,2026-08-10T07:15:00.000Z,0,0,,,,,,
1786346400,2026-08-10T07:20:00.000Z,0,0,,,,,,
1786346700,2026-08-10T07:25:00.000Z,0,0,,,,,,
1786347000,2026-08-10T07:30:00.000Z,0,0,,,,,,
1786347300,2026-08-10T07:35:00.000Z,0,0,,,,,,
1786347600,2026-08-10T07:40:00.000Z,0,0,,,,,,
1786347900,2026-08-10T07:45:00.000Z,0,0,,,,,,
1786348200,2026-08-10T07:50:00.000Z,0,0,,,,,,
1786348500,2026-08-10T07:55:00.000Z,0,0,,,,,,
1786348800,2026-08-10T08:00:00.000Z,0,0,,,,,,
1786349100,2026-08-10T08:05:00.000Z,0,0,,,,,,
1786349400,2026-08-10T08:10:00.000Z,0,0,,,,,,
1786349700,2026-08-10T08:15:00.000Z,0,0,,,,,,
1786350000,2026-08-10T08:20:00.000Z,0,0,,,,,,
1786350300,2026-08-10T08:25:00.000Z,0,0,,,,,,
1786350600,2026-08-10T08:30:00.000Z,0,0,,,,,,
1786350900,2026-08-10T08:35:00.000Z,0,0,,,,,,
1786351200,2026-08-10T08:40:00.000Z,0,0,,,,,,
1786351500,2026-08-10T08:45:00.000Z,0,0,,,,,,
1786351800,2026-08-10T08:50:00.000Z,0,0,,,,,,
1786352100,2026-08-10T08:55:00.000Z,0,0,,,,,,
1786352400,2026-08-10T09:00:00.000Z,0,0,,,,,,
1786352700,2026-08-10T09:05:00.000Z,0,0,,,,,,
1786353000,2026-08-10T09:10:00.000Z,0,0,,,,,,
1786353300,2026-08-10T09:15:00.000Z,0,0,,,,,,
1786353600,2026-08-10T09:20:00.000Z,0,0,,,,,,
1786353900,2026-08-10T09:25:00.000Z,0,0,,,,,,
1786354200,2026-08-10T09:30:00.000Z,0,0,,,,,,
1786354500,2026-08-10T09:35:00.000Z,0,0,,,,,,
1786354800,2026-08-10T09:40:00.000Z,0,0,,,,,,
1786355100,2026-08-10T09:45:00.000Z,0,0,,,,,,
1786355400,2026-08-10T09:50:00.000Z,0,0,,,,,,
1786355700,2026-08-10T09:55:00.000Z,0,0,,,,,,
1786356000,2026-08-10T10:00:00.000Z,0,0,,,,,,
1786356300,2026-08-10T10:05:00.000Z,0,0,,,,,,
1786356600,2026-08-10T10:10:00.000Z,0,0,,,,,,
1786356900,2026-08-10T10:15:00.000Z,0,0,,,,,,
1786357200,2026-08-10T10:20:00.000Z,0,0,,,,,,
1786357500,2026-08-10T10:25:00.000Z,0,0,,,,,,
1786357800,2026-08-10T10:30:00.000Z,0,0,,,,,,
1786358100,2026-08-10T10:35:00.000Z,0,0,,,,,,
1786358400,2026-08-10T10:40:00.000Z,0,0,,,,,,
1786358700,2026-08-10T10:45:00.000Z,0,0,,,,,,
1786359000,2026-08-10T10:50:00.000Z,0,0,,,,,,
1786359300,2026-08-10T10:55:00.000Z,0,0,,,,,,
1786359600,2026-08-10T11:00:00.000Z,0,0,,,,,,
1786359900,2026-08-10T11:05:00.000Z,0,0,,,,,,
1786360200,2026-08-10T11:10:00.000Z,0,0,,,,,,
1786360500,2026-08-10T11:15:00.000Z,0,0,,,,,,
1786360800,2026-08-10T11:20:00.000Z,0,0,,,,,,
1786361100,2026-08-10T11:25:00.000Z,0,1,,,,,,
1786361400,2026-08-10T11:30:00.000Z,0,0,,,,,,
1786361700,2026-08-10T11:35:00.000Z,0,0,,,,,,
1786362000,2026-08-10T11:40:00.000Z,0,0,,,,,,
1786362300,2026-08-10T11:45:00.000Z,0,0,,,,,,
1786362600,2026-08-10T11:50:00.000Z,0,0,,,,,,
1786362900,2026-08-10T11:55:00.000Z,0,0,,,,,,
1786363200,2026-08-10T12:00:00.000Z,0,0,,,,,,
1786363500,2026-08-10T12:05:00.000Z,0,0,,,,,,
1786363800,2026-08-10T12:10:00.000Z,0,0,,,,,,
1786364100,2026-08-10T12:15:00.000Z,0,0,,,,,,
