time,iso,plot_0,plot_1,rsi,open,high,low,close,volume
1784793000,2026-07-23T07:50:00.000Z,0,0,,98.02,98.23,97.62,97.71,481
1784793300,2026-07-23T07:55:00.000Z,0,0,,97.73,97.75,97.31,97.54,526
1784793600,2026-07-23T08:00:00.000Z,0,0,,97.58,97.91,97.55,97.76,498
1784793900,2026-07-23T08:05:00.000Z,0,0,,97.77,97.82,97.24,97.25,291
1784794200,2026-07-23T08:10:00.000Z,0,0,,97.24,97.69,97.18,97.62,302
1784794500,2026-07-23T08:15:00.000Z,0,0,,97.6,97.76,97.32,97.43,320
1784794800,2026-07-23T08:20:00.000Z,0,0,,97.46,97.9,97.33,97.84,419
1784795100,2026-07-23T08:25:00.000Z,0,0,,97.85,97.92,97.52,97.55,1823
1784795400,2026-07-23T08:30:00.000Z,0,0,,97.58,98.07,97.55,98.05,648
1784795700,2026-07-23T08:35:00.000Z,0,0,,98.04,98.12,97.92,97.94,302
1784796000,2026-07-23T08:40:00.000Z,0,0,,97.94,98.26,97.94,98.14,359
1784796300,2026-07-23T08:45:00.000Z,0,0,,98.18,98.23,97.51,97.51,368
1784796600,2026-07-23T08:50:00.000Z,0,0,,97.53,97.76,97.44,97.7,264
1784796900,2026-07-23T08:55:00.000Z,0,0,,97.72,97.89,97.57,97.81,276
1784797200,2026-07-23T09:00:00.000Z,0,0,,97.82,97.94,97.42,97.54,552
1784797500,2026-07-23T09:05:00.000Z,0,0,,97.57,98.06,97.55,97.99,386
1784797800,2026-07-23T09:10:00.000Z,0,0,,97.98,98.47,97.85,98.46,384
1784798100,2026-07-23T09:15:00.000Z,0,0,,98.47,98.53,98.3,98.42,318
1784798400,2026-07-23T09:20:00.000Z,0,0,,98.46,98.75,98.43,98.65,277
1784798700,2026-07-23T09:25:00.000Z,0,0,,98.62,98.68,98.54,98.54,228
1784799000,2026-07-23T09:30:00.000Z,0,0,,98.57,98.67,98.34,98.67,432
1784799300,2026-07-23T09:35:00.000Z,0,0,,98.66,98.8,98.44,98.44,314
1784799600,2026-07-23T09:40:00.000Z,0,0,,98.45,98.48,98.05,98.13,296
1784799900,2026-07-23T09:45:00.000Z,0,0,,98.13,98.36,98.08,98.18,226
1784800200,2026-07-23T09:50:00.000Z,0,0,,98.2,98.38,98.04,98.15,372
1784800500,2026-07-23T09:55:00.000Z,0,0,,98.16,98.47,98.09,98.3,354
1784800800,2026-07-23T10:00:00.000Z,0,0,,98.33,98.51,98.16,98.16,309
1784801100,2026-07-23T10:05:00.000Z,0,0,,98.19,98.2,97.98,98.01,199
1784801400,2026-07-23T10:10:00.000Z,0,0,,98,98.32,97.99,98.26,174
1784801700,2026-07-23T10:15:00.000Z,0,0,,98.27,98.63,98.19,98.62,209
1784802000,2026-07-23T10:20:00.000Z,0,0,,98.63,98.76,98.52,98.69,316
1784802300,2026-07-23T10:25:00.000Z,0,0,,98.7,98.79,98.53,98.74,182
1784802600,2026-07-23T10:30:00.000Z,0,0,,98.77,98.88,98.6,98.63,254
1784802900,2026-07-23T10:35:00.000Z,0,0,,98.66,98.87,98.63,98.78,184
1784803200,2026-07-23T10:40:00.000Z,0,0,,98.8,98.86,98.33,98.37,297
1784803500,2026-07-23T10:45:00.000Z,0,0,,98.4,98.57,98.32,98.45,151
1784803800,2026-07-23T10:50:00.000Z,0,0,,98.46,98.51,98.22,98.28,183
1784804100,2026-07-23T10:55:00.000Z,0,0,,98.3,98.38,98.19,98.22,136
1784804400,2026-07-23T11:00:00.000Z,0,0,,98.23,98.38,98.15,98.36,146
1784804700,2026-07-23T11:05:00.000Z,0,0,,98.39,98.69,98.37,98.53,169
1784805000,2026-07-23T11:10:00.000Z,0,0,,98.56,98.61,98.49,98.49,79
1784805300,2026-07-23T11:15:00.000Z,0,0,,98.51,98.91,98.44,98.87,181
1784805600,2026-07-23T11:20:00.000Z,0,0,,98.86,98.92,98.63,98.78,142
1784805900,2026-07-23T11:25:00.000Z,0,0,,98.79,98.79,98.58,98.72,90
1784806200,2026-07-23T11:30:00.000Z,0,0,,98.73,98.95,98.54,98.93,166
1784806500,2026-07-23T11:35:00.000Z,0,0,,98.9,99.06,98.9,99,203
1784806800,2026-07-23T11:40:00.000Z,0,0,,99.01,99.08,98.86,98.89,234
1784807100,2026-07-23T11:45:00.000Z,0,0,,98.91,98.91,98.47,98.5,211
1784807400,2026-07-23T11:50:00.000Z,0,0,,98.53,98.67,98.25,98.64,418
1784807700,2026-07-23T11:55:00.000Z,0,0,,98.65,98.75,98.56,98.67,122
1784808000,2026-07-23T12:00:00.000Z,0,0,,98.71,98.79,98.52,98.53,168
1784808300,2026-07-23T12:05:00.000Z,0,0,,98.56,98.79,98.5,98.78,195
1784808600,2026-07-23T12:10:00.000Z,0,0,,98.77,99.07,98.71,99.04,162
1784808900,2026-07-23T12:15:00.000Z,0,0,,99.05,99.44,98.85,98.99,802
1784809200,2026-07-23T12:20:00.000Z,0,0,,99,99.32,98.76,99.2,349
1784809500,2026-07-23T12:25:00.000Z,0,0,,99.21,99.3,99.09,99.21,246
1784809800,2026-07-23T12:30:00.000Z,0,0,,99.23,99.51,99.21,99.21,367
1784810100,2026-07-23T12:35:00.000Z,0,0,,99.2,99.3,99.06,99.26,266
1784810400,2026-07-23T12:40:00.000Z,0,0,,99.27,99.57,99.21,99.55,288
1784810700,2026-07-23T12:45:00.000Z,0,0,,99.57,99.68,99.31,99.64,498
1784811000,2026-07-23T12:50:00.000Z,0,0,,99.67,99.97,99.63,99.82,454
