time,iso,plot_0,plot_1,rsi,open,high,low,close,volume
1786345800,2026-08-10T07:10:00.000Z,0,0,,84,84.02,83.87,83.98,160
1786346100,2026-08-10T07:15:00.000Z,0,0,,83.94,84.14,83.88,84.1,160
1786346400,2026-08-10T07:20:00.000Z,0,0,,84.08,84.08,83.71,83.79,138
1786346700,2026-08-10T07:25:00.000Z,0,0,,83.82,83.92,83.52,83.56,107
1786347000,2026-08-10T07:30:00.000Z,0,0,,83.58,83.76,83.53,83.75,72
1786347300,2026-08-10T07:35:00.000Z,0,0,,83.77,83.83,83.63,83.81,89
1786347600,2026-08-10T07:40:00.000Z,0,0,,83.8,83.85,83.6,83.6,102
1786347900,2026-08-10T07:45:00.000Z,0,0,,83.62,83.74,83.33,83.7,303
1786348200,2026-08-10T07:50:00.000Z,0,0,,83.73,83.83,83.63,83.8,102
1786348500,2026-08-10T07:55:00.000Z,0,0,,83.84,83.88,83.71,83.73,107
1786348800,2026-08-10T08:00:00.000Z,0,0,,83.72,83.82,83.67,83.77,159
1786349100,2026-08-10T08:05:00.000Z,0,0,,83.79,83.87,83.68,83.86,98
1786349400,2026-08-10T08:10:00.000Z,0,0,,83.84,83.86,83.65,83.8,113
1786349700,2026-08-10T08:15:00.000Z,0,0,,83.83,83.97,83.68,83.81,228
1786350000,2026-08-10T08:20:00.000Z,0,0,,83.83,84.06,83.76,83.96,208
1786350300,2026-08-10T08:25:00.000Z,0,0,,83.97,84.08,83.77,83.95,601
1786350600,2026-08-10T08:30:00.000Z,0,0,,83.98,84.38,83.82,84.21,317
1786350900,2026-08-10T08:35:00.000Z,0,0,,84.2,84.42,84.11,84.42,185
1786351200,2026-08-10T08:40:00.000Z,0,0,,84.43,84.61,84.36,84.52,257
1786351500,2026-08-10T08:45:00.000Z,0,0,,84.55,84.62,84.42,84.49,149
1786351800,2026-08-10T08:50:00.000Z,0,0,,84.51,84.8,84.5,84.77,174
1786352100,2026-08-10T08:55:00.000Z,0,0,,84.78,84.8,84.61,84.61,172
1786352400,2026-08-10T09:00:00.000Z,0,0,,84.6,84.61,84.43,84.46,172
1786352700,2026-08-10T09:05:00.000Z,0,0,,84.45,84.54,84.38,84.51,100
1786353000,2026-08-10T09:10:00.000Z,0,0,,84.52,84.53,84.44,84.45,108
1786353300,2026-08-10T09:15:00.000Z,0,0,,84.46,84.61,84.44,84.5,88
1786353600,2026-08-10T09:20:00.000Z,0,0,,84.48,84.48,84.17,84.17,119
1786353900,2026-08-10T09:25:00.000Z,0,0,,84.18,84.3,84.16,84.26,119
1786354200,2026-08-10T09:30:00.000Z,0,0,,84.27,84.46,84.25,84.29,151
1786354500,2026-08-10T09:35:00.000Z,0,0,,84.3,84.52,84.29,84.48,105
1786354800,2026-08-10T09:40:00.000Z,0,0,,84.5,84.63,84.47,84.56,125
1786355100,2026-08-10T09:45:00.000Z,0,0,,84.56,84.67,84.52,84.56,87
1786355400,2026-08-10T09:50:00.000Z,0,0,,84.59,84.61,84.48,84.57,88
1786355700,2026-08-10T09:55:00.000Z,0,0,,84.56,84.63,84.44,84.54,104
1786356000,2026-08-10T10:00:00.000Z,0,0,,84.55,84.55,84.38,84.39,88
1786356300,2026-08-10T10:05:00.000Z,0,0,,84.4,84.43,84.27,84.41,118
1786356600,2026-08-10T10:10:00.000Z,0,0,,84.38,84.41,84.28,84.37,90
1786356900,2026-08-10T10:15:00.000Z,0,0,,84.39,84.47,84.26,84.26,71
1786357200,2026-08-10T10:20:00.000Z,0,0,,84.28,84.3,83.95,84.11,207
1786357500,2026-08-10T10:25:00.000Z,0,0,,84.15,84.34,84.14,84.3,103
1786357800,2026-08-10T10:30:00.000Z,0,0,,84.31,84.56,84.26,84.4,107
1786358100,2026-08-10T10:35:00.000Z,0,0,,84.41,84.81,84.37,84.75,151
1786358400,2026-08-10T10:40:00.000Z,0,0,,84.76,84.99,84.72,84.86,271
1786358700,2026-08-10T10:45:00.000Z,0,0,,84.84,84.86,84.65,84.69,131
1786359000,2026-08-10T10:50:00.000Z,0,0,,84.72,85.14,84.69,85.05,157
1786359300,2026-08-10T10:55:00.000Z,0,0,,85.02,85.04,84.9,84.99,134
1786359600,2026-08-10T11:00:00.000Z,0,0,,84.98,85.1,84.73,84.84,168
1786359900,2026-08-10T11:05:00.000Z,0,0,,84.82,84.88,84.74,84.79,73
1786360200,2026-08-10T11:10:00.000Z,0,0,,84.8,84.8,84.68,84.71,64
1786360500,2026-08-10T11:15:00.000Z,0,0,,84.71,84.76,84.67,84.68,64
1786360800,2026-08-10T11:20:00.000Z,0,0,,84.67,84.72,84.51,84.53,113
1786361100,2026-08-10T11:25:00.000Z,0,1,,84.52,84.53,84.38,84.47,81
1786361400,2026-08-10T11:30:00.000Z,0,0,,84.51,84.57,84.43,84.53,108
1786361700,2026-08-10T11:35:00.000Z,0,0,,84.54,84.75,84.52,84.68,165
1786362000,2026-08-10T11:40:00.000Z,0,0,,84.67,84.87,84.61,84.81,127
1786362300,2026-08-10T11:45:00.000Z,0,0,,84.83,84.97,84.76,84.86,148
1786362600,2026-08-10T11:50:00.000Z,0,0,,84.91,84.99,84.81,84.95,155
1786362900,2026-08-10T11:55:00.000Z,0,0,,84.94,84.97,84.83,84.93,92
1786363200,2026-08-10T12:00:00.000Z,0,0,,84.96,85.02,84.83,84.97,174
1786363500,2026-08-10T12:05:00.000Z,0,0,,84.95,85.07,84.86,84.9,181
1786363800,2026-08-10T12:10:00.000Z,0,0,,84.91,85.09,84.88,85.03,182
1786364100,2026-08-10T12:15:00.000Z,0,0,,85.02,85.07,84.93,84.97,99
1786364400,2026-08-10T12:20:00.000Z,0,0,,84.99,85.01,84.83,84.84,90
1786364700,2026-08-10T12:25:00.000Z,0,0,,84.85,84.88,84.68,84.71,134
1786365000,2026-08-10T12:30:00.000Z,0,0,,84.75,85.01,84.7,84.92,113
1786365300,2026-08-10T12:35:00.000Z,0,0,,84.96,85.08,84.91,84.98,110
1786365600,2026-08-10T12:40:00.000Z,0,0,,84.99,85.17,84.94,85.13,141
1786365900,2026-08-10T12:45:00.000Z,0,0,,85.15,85.18,85.04,85.11,105
1786366200,2026-08-10T12:50:00.000Z,0,0,,85.14,85.38,85.07,85.33,251
1786366500,2026-08-10T12:55:00.000Z,0,0,,85.37,85.38,85.01,85.18,212
1786366800,2026-08-10T13:00:00.000Z,0,0,,85.19,85.2,84.84,84.88,439
1786367100,2026-08-10T13:05:00.000Z,0,0,,84.9,85.09,84.8,85.06,224
1786367400,2026-08-10T13:10:00.000Z,0,0,,85.05,85.15,84.93,84.98,244
1786367700,2026-08-10T13:15:00.000Z,0,0,,84.99,85.09,84.79,84.84,216
1786368000,2026-08-10T13:20:00.000Z,0,0,,84.88,85.14,84.73,85.05,264
1786368300,2026-08-10T13:25:00.000Z,0,0,,85.08,85.3,84.99,85.27,228
1786368600,2026-08-10T13:30:00.000Z,0,0,,85.28,85.44,85.2,85.39,323
1786368900,2026-08-10T13:35:00.000Z,0,0,,85.4,85.53,85.32,85.45,259
1786369200,2026-08-10T13:40:00.000Z,0,0,,85.48,85.71,85.4,85.62,395
1786369500,2026-08-10T13:45:00.000Z,0,0,,85.65,85.99,85.65,85.95,547
1786369800,2026-08-10T13:50:00.000Z,0,0,,85.98,86.26,85.92,86.06,584
1786370100,2026-08-10T13:55:00.000Z,0,0,,86.07,86.38,86.03,86.25,433
1786370400,2026-08-10T14:00:00.000Z,0,0,,86.28,86.28,85.99,86.01,383
1786370700,2026-08-10T14:05:00.000Z,0,0,,86.02,86.22,85.98,86.22,271
1786371000,2026-08-10T14:10:00.000Z,0,0,,86.21,86.3,86.14,86.17,276
1786371300,2026-08-10T14:15:00.000Z,0,0,,86.15,86.18,85.72,85.72,388
1786371600,2026-08-10T14:20:00.000Z,0,0,,85.74,85.91,85.73,85.88,276
1786371900,2026-08-10T14:25:00.000Z,0,0,,85.81,85.89,85.72,85.75,292
1786372200,2026-08-10T14:30:00.000Z,0,0,,85.76,86.06,85.68,85.92,309
1786372500,2026-08-10T14:35:00.000Z,0,0,,85.95,85.98,85.83,85.9,215
1786372800,2026-08-10T14:40:00.000Z,0,0,,85.91,86.09,85.91,86.05,210
1786373100,2026-08-10T14:45:00.000Z,0,0,,86.08,86.08,85.92,85.97,190
1786373400,2026-08-10T14:50:00.000Z,0,0,,85.99,86.26,85.98,86.2,304
1786373700,2026-08-10T14:55:00.000Z,0,0,,86.21,86.26,86.08,86.16,266
1786374000,2026-08-10T15:00:00.000Z,0,0,,86.15,86.38,86.04,86.35,494
1786374300,2026-08-10T15:05:00.000Z,0,0,,86.38,86.49,86.29,86.37,504
1786374600,2026-08-10T15:10:00.000Z,0,0,,86.39,86.46,86.24,86.29,289
1786374900,2026-08-10T15:15:00.000Z,0,0,,86.33,86.49,86.22,86.31,308
1786375200,2026-08-10T15:20:00.000Z,0,0,,86.3,86.66,86.23,86.63,489
1786375500,2026-08-10T15:25:00.000Z,0,0,,86.65,86.83,86.53,86.73,1177
1786375800,2026-08-10T15:30:00.000Z,0,0,,86.75,86.85,86.62,86.72,451
1786376100,2026-08-10T15:35:00.000Z,0,0,,86.73,86.76,86.59,86.73,215
1786376400,2026-08-10T15:40:00.000Z,0,0,,86.72,86.95,86.65,86.89,321
1786376700,2026-08-10T15:45:00.000Z,0,0,,86.9,86.96,86.81,86.88,239
1786377000,2026-08-10T15:50:00.000Z,0,0,,86.89,86.89,86.63,86.74,312
1786377300,2026-08-10T15:55:00.000Z,0,0,,86.76,86.84,86.58,86.59,211
1786377600,2026-08-10T16:00:00.000Z,0,0,,86.6,86.65,86.47,86.51,274
1786377900,2026-08-10T16:05:00.000Z,0,0,,86.54,86.57,86.37,86.53,223
1786378200,2026-08-10T16:10:00.000Z,0,0,,86.54,86.66,86.46,86.57,138
1786378500,2026-08-10T16:15:00.000Z,0,0,,86.58,86.58,86.45,86.53,143
1786378800,2026-08-10T16:20:00.000Z,0,0,,86.55,86.74,86.5,86.66,174
1786379100,2026-08-10T16:25:00.000Z,0,0,,86.68,86.76,86.64,86.68,111
1786379400,2026-08-10T16:30:00.000Z,0,0,,86.69,87.14,86.57,86.81,691
1786379700,2026-08-10T16:35:00.000Z,0,0,,86.82,86.88,86.66,86.85,205
1786380000,2026-08-10T16:40:00.000Z,0,0,,86.86,87.07,86.81,87.03,165
1786380300,2026-08-10T16:45:00.000Z,0,0,,87.06,87.06,86.87,86.99,152
1786380600,2026-08-10T16:50:00.000Z,0,0,,87.02,87.1,86.92,87.08,140
1786380900,2026-08-10T16:55:00.000Z,0,0,,87.09,87.16,87.02,87.06,192
1786381200,2026-08-10T17:00:00.000Z,0,0,,87.07,87.25,87.06,87.23,196
1786381500,2026-08-10T17:05:00.000Z,0,0,,87.21,87.27,86.99,87.11,176
1786381800,2026-08-10T17:10:00.000Z,0,0,,87.09,87.2,87.04,87.1,158
1786382100,2026-08-10T17:15:00.000Z,0,0,,87.12,87.16,87.02,87.11,122
1786382400,2026-08-10T17:20:00.000Z,0,0,,87.08,87.17,87.03,87.03,102
1786382700,2026-08-10T17:25:00.000Z,0,0,,87.06,87.17,87.04,87.15,126
1786383000,2026-08-10T17:30:00.000Z,0,0,,87.16,87.35,87.06,87.31,202
1786383300,2026-08-10T17:35:00.000Z,0,0,,87.33,87.37,87.25,87.33,186
1786383600,2026-08-10T17:40:00.000Z,0,0,,87.32,87.43,87.31,87.39,156
1786383900,2026-08-10T17:45:00.000Z,0,0,,87.42,87.5,87.35,87.44,205
1786384200,2026-08-10T17:50:00.000Z,0,0,,87.47,87.55,87.33,87.39,247
1786384500,2026-08-10T17:55:00.000Z,0,0,,87.38,87.55,87.34,87.53,159
1786384800,2026-08-10T18:00:00.000Z,0,0,,87.54,87.55,87.41,87.43,175
1786385100,2026-08-10T18:05:00.000Z,0,0,,87.42,87.45,87.35,87.4,148
1786385400,2026-08-10T18:10:00.000Z,0,0,,87.43,87.48,87.34,87.44,132
1786385700,2026-08-10T18:15:00.000Z,0,0,,87.46,87.93,87.43,87.82,509
1786386000,2026-08-10T18:20:00.000Z,0,0,,87.83,87.92,87.73,87.78,350
1786386300,2026-08-10T18:25:00.000Z,0,0,,87.81,87.85,87.64,87.72,898
1786386600,2026-08-10T18:30:00.000Z,0,0,,87.74,87.88,87.71,87.86,211
1786386900,2026-08-10T18:35:00.000Z,0,0,,87.87,87.87,87.69,87.75,95
1786387200,2026-08-10T18:40:00.000Z,0,0,,87.74,87.8,87.67,87.71,84
1786387500,2026-08-10T18:45:00.000Z,0,0,,87.71,87.72,87.58,87.63,97
1786387800,2026-08-10T18:50:00.000Z,0,0,,87.61,87.66,87.52,87.53,125
1786388100,2026-08-10T18:55:00.000Z,0,0,,87.56,87.56,87.36,87.37,138
1786388400,2026-08-10T19:00:00.000Z,0,0,,87.4,87.41,87.15,87.24,157
1786388700,2026-08-10T19:05:00.000Z,0,0,,87.26,87.27,87.15,87.15,136
1786389000,2026-08-10T19:10:00.000Z,0,0,,87.16,87.4,87.16,87.24,147
1786389300,2026-08-10T19:15:00.000Z,0,0,,87.26,87.37,87.26,87.32,86
1786389600,2026-08-10T19:20:00.000Z,0,0,,87.36,87.41,87.31,87.39,77
1786389900,2026-08-10T19:25:00.000Z,0,0,,87.4,87.52,87.38,87.51,73
1786390200,2026-08-10T19:30:00.000Z,0,0,,87.5,87.61,87.48,87.59,55
1786390500,2026-08-10T19:35:00.000Z,0,0,,87.55,87.58,87.45,87.52,59
1786390800,2026-08-10T19:40:00.000Z,0,0,,87.54,87.59,87.51,87.52,58
1786391100,2026-08-10T19:45:00.000Z,0,0,,87.55,87.59,87.49,87.55,26
1786391400,2026-08-10T19:50:00.000Z,0,0,,87.56,87.64,87.51,87.6,47
1786391700,2026-08-10T19:55:00.000Z,0,0,,87.6,87.67,87.56,87.67,57
1786392000,2026-08-10T20:00:00.000Z,0,0,,87.65,87.7,87.6,87.66,84
1786392300,2026-08-10T20:05:00.000Z,0,0,,87.67,87.72,87.63,87.72,60
1786392600,2026-08-10T20:10:00.000Z,0,0,,87.73,87.79,87.72,87.75,50
1786392900,2026-08-10T20:15:00.000Z,0,0,,87.77,87.78,87.67,87.73,36
1786393200,2026-08-10T20:20:00.000Z,0,0,,87.71,87.8,87.68,87.77,41
1786393500,2026-08-10T20:25:00.000Z,0,0,,87.76,87.9,87.76,87.85,57
1786393800,2026-08-10T20:30:00.000Z,0,0,,87.84,87.91,87.81,87.84,25
1786394100,2026-08-10T20:35:00.000Z,0,0,,87.83,87.87,87.75,87.85,29
1786394400,2026-08-10T20:40:00.000Z,0,0,,87.84,87.9,87.83,87.9,37
1786394700,2026-08-10T20:45:00.000Z,0,0,,87.89,87.9,87.79,87.8,70
1786395000,2026-08-10T20:50:00.000Z,0,0,,87.82,87.9,87.81,87.84,65
1786395300,2026-08-10T20:55:00.000Z,0,0,,87.83,87.89,87.8,87.84,41
1786395600,2026-08-10T21:00:00.000Z,0,0,,87.86,87.89,87.86,87.88,6
1786395900,2026-08-10T21:05:00.000Z,0,0,,87.89,87.89,87.86,87.86,5
1786396500,2026-08-10T21:15:00.000Z,0,0,,87.85,87.85,87.83,87.83,4
1786396800,2026-08-10T21:20:00.000Z,0,0,,87.85,87.85,87.75,87.75,5
1786397100,2026-08-10T21:25:00.000Z,0,0,,87.77,87.84,87.77,87.83,11
